CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,vri_name1,Total Incidents
06/06/2020,21:10:00,1K,4500 E FAYETTE ST,HOMICIDE,Outside,KNIFE,232.0,SOUTHEAST,KRESSON,-76.559705766696,39.295231013357004,,PUBLIC AREA,,1
06/05/2020,21:33:00,1A,1700 GORSUCH AV,HOMICIDE,Outside,FIREARM,411.0,NORTHEAST,COLDSTREAM HOMESTEAD,-76.594122959952,39.320985892352,,STREET,,1
06/03/2020,00:45:00,1A,700 W SARATOGA ST,HOMICIDE,Outside,FIREARM,122.0,CENTRAL,POPPLETON,-76.627939063679,39.292784522564,,STREET,,1
06/02/2020,13:23:00,1A,800 MCKEAN AV,HOMICIDE,Inside,FIREARM,722.0,WESTERN,HARLEM PARK,-76.646684613685,39.298382713312996,,DWELLING,,1
06/02/2020,23:00:00,1A,5600 HADDON AV,HOMICIDE,Outside,FIREARM,634.0,NORTHWEST,GROVE PARK,-76.704238294157,39.337823647415,,STREET,,1
06/01/2020,01:08:00,1A,4700 LIBERTY HEIGHTS AV,HOMICIDE,Outside,FIREARM,622.0,NORTHWEST,HOWARD PARK,-76.695758955382,39.331494624342,,STREET,,1
06/01/2020,14:15:00,1A,600 HARWOOD AV,HOMICIDE,Outside,FIREARM,523.0,NORTHERN,MID-GOVANS,-76.60692686552,39.357626826772,,VEHICLE,,1
06/01/2020,21:30:00,1O,0 S GREENE ST,HOMICIDE,Inside,OTHER,121.0,CENTRAL,UNIVERSITY OF MARYLA,-76.623694842265,39.288377775121,,HOSPITAL,,1
05/31/2020,00:00:00,1A,4000 6TH ST,HOMICIDE,Inside,FIREARM,913.0,SOUTHERN,BROOKLYN,-76.603679433283,39.231700973697,,DWELLING,,1
05/30/2020,04:01:00,1A,300 KEY HWY,HOMICIDE,Outside,FIREARM,112.0,CENTRAL,INNER HARBOR,-76.609814833496,39.280774799297,,PUBLIC AREA,,1
05/30/2020,03:18:00,1A,2100 WILKENS AV,HOMICIDE,Inside,FIREARM,834.0,SOUTHWEST,CARROLLTON RIDGE,-76.649274243853,39.281302042782,,VEHICLE,Tri-District,1
05/30/2020,23:31:00,1A,3900 STOKES DR,HOMICIDE,Outside,FIREARM,821.0,SOUTHWEST,GWYNNS FALLS/LEAKIN PARK,-76.681262999906,39.300528499655,,STREET,,1
05/30/2020,17:23:00,1A,1500 PRESSTMAN ST,HOMICIDE,Outside,FIREARM,724.0,WESTERN,SANDTOWN-WINCHESTER,-76.64198411142101,39.305500936501005,,STREET,,1
05/29/2020,00:20:00,1A,500 N CURLEY ST,HOMICIDE,Outside,FIREARM,224.0,SOUTHEAST,CANTON,-76.575857956506,39.297033742897,,STREET,,1
05/26/2020,01:26:00,1A,2300 PRESBURY ST,HOMICIDE,Outside,FIREARM,723.0,WESTERN,COPPIN HEIGHTS/ASHBU,-76.65406192400799,39.307706153386995,,STREET,Western,1
05/25/2020,21:43:00,1A,3200 LIBERTY HEIGHTS AV,HOMICIDE,Outside,FIREARM,625.0,NORTHWEST,ASHBURTON,-76.66953752915201,39.323699152474,,STREET,,1
05/24/2020,18:59:00,1A,1700 E LAFAYETTE AV,HOMICIDE,Outside,FIREARM,314.0,EASTERN,BROADWAY EAST,-76.59370387627,39.310782992271,,STREET,Eastern 1,1
05/24/2020,18:59:00,1A,1700 E LAFAYETTE AV,HOMICIDE,Outside,FIREARM,314.0,EASTERN,BROADWAY EAST,-76.59370387627,39.310782992271,,STREET,Eastern 1,1
05/24/2020,20:06:00,1A,5200 FRANKFORD AV,HOMICIDE,Outside,FIREARM,443.0,NORTHEAST,FRANKFORD,-76.54094585503,39.325766172520005,,PARKING LOT,,1
05/24/2020,14:57:00,1A,5100 LITCHFIELD AV,HOMICIDE,Outside,FIREARM,613.0,NORTHWEST,LANGSTON HUGHES,-76.680286705252,39.346206347265,,STREET,,1
05/23/2020,21:44:00,1A,300 S Collins Av,HOMICIDE,Outside,FIREARM,824.0,SOUTHWEST,IRVINGTON,-76.683618147077,39.281663482679,,STREET,,1
05/23/2020,02:02:00,1A,3500 SPAULDING AV,HOMICIDE,Inside,FIREARM,532.0,NORTHWEST,LEVINDALE,-76.677580629416,39.346452721229994,,DWELLING,Northwestern,1
05/22/2020,10:33:00,1A,4200 NORFOLK AV,HOMICIDE,Outside,FIREARM,624.0,NORTHWEST,WEST FOREST PARK,-76.688198712726,39.323243895412,,STREET,,1
05/21/2020,21:08:00,1A,100 S MORLEY ST,HOMICIDE,Inside,FIREARM,835.0,SOUTHWEST,SAINT JOSEPHS,-76.67590639980699,39.285093385178,,DWELLING,,1
05/19/2020,14:40:00,1A,2600 E FAYETTE ST,HOMICIDE,Outside,FIREARM,221.0,SOUTHEAST,MCELDERRY PARK,-76.580539914729,39.29454656130999,,STREET,,1
05/14/2020,00:08:00,1A,100 VIOLET HILL WHITE WY,HOMICIDE,Outside,FIREARM,122.0,CENTRAL,POPPLETON,-76.627945506548,39.290183037716,,STREET,,1
05/13/2020,18:32:00,1A,300 E UNIVERSITY PKWY,HOMICIDE,Outside,FIREARM,512.0,NORTHERN,OAKENSHAWE,-76.612695752088,39.329268385618,,ALLEY,,1
