Year,PoliceDistrict,Week_Number,Year_Week_Number,NoOfCrimes
2014,NORTHERN,1,2014_1,24
2014,NORTHERN,2,2014_2,17
2014,NORTHERN,3,2014_3,16
2014,NORTHERN,4,2014_4,9
2014,NORTHERN,5,2014_5,12
2014,NORTHERN,6,2014_6,16
2014,NORTHERN,7,2014_7,11
2014,NORTHERN,8,2014_8,16
2014,NORTHERN,9,2014_9,20
2014,NORTHERN,10,2014_10,20
2014,NORTHERN,11,2014_11,23
2014,NORTHERN,12,2014_12,19
2014,NORTHERN,13,2014_13,20
2014,NORTHERN,14,2014_14,25
2014,NORTHERN,15,2014_15,21
2014,NORTHERN,16,2014_16,15
2014,NORTHERN,17,2014_17,30
2014,NORTHERN,18,2014_18,20
2014,NORTHERN,19,2014_19,21
2014,NORTHERN,20,2014_20,24
2014,NORTHERN,21,2014_21,20
2014,NORTHERN,22,2014_22,18
2014,NORTHERN,23,2014_23,23
2014,NORTHERN,24,2014_24,22
2014,NORTHERN,25,2014_25,17
2014,NORTHERN,26,2014_26,19
2014,NORTHERN,27,2014_27,24
2014,NORTHERN,28,2014_28,23
2014,NORTHERN,29,2014_29,15
2014,NORTHERN,30,2014_30,25
2014,NORTHERN,31,2014_31,19
2014,NORTHERN,32,2014_32,22
2014,NORTHERN,33,2014_33,22
2014,NORTHERN,34,2014_34,14
2014,NORTHERN,35,2014_35,15
2014,NORTHERN,36,2014_36,18
2014,NORTHERN,37,2014_37,16
2014,NORTHERN,38,2014_38,23
2014,NORTHERN,39,2014_39,22
2014,NORTHERN,40,2014_40,21
2014,NORTHERN,41,2014_41,16
2014,NORTHERN,42,2014_42,22
2014,NORTHERN,43,2014_43,14
2014,NORTHERN,44,2014_44,20
2014,NORTHERN,45,2014_45,15
2014,NORTHERN,46,2014_46,26
2014,NORTHERN,47,2014_47,18
2014,NORTHERN,48,2014_48,21
2014,NORTHERN,49,2014_49,20
2014,NORTHERN,50,2014_50,14
2014,NORTHERN,51,2014_51,14
2014,NORTHERN,52,2014_52,17
2015,NORTHERN,1,2015_1,5
2015,NORTHERN,2,2015_2,11
2015,NORTHERN,3,2015_3,11
2015,NORTHERN,4,2015_4,15
2015,NORTHERN,5,2015_5,20
2015,NORTHERN,6,2015_6,22
2015,NORTHERN,7,2015_7,10
2015,NORTHERN,8,2015_8,17
2015,NORTHERN,9,2015_9,14
2015,NORTHERN,10,2015_10,9
2015,NORTHERN,11,2015_11,20
2015,NORTHERN,12,2015_12,20
2015,NORTHERN,13,2015_13,18
2015,NORTHERN,14,2015_14,23
2015,NORTHERN,15,2015_15,14
2015,NORTHERN,16,2015_16,26
2015,NORTHERN,17,2015_17,16
2015,NORTHERN,18,2015_18,14
2015,NORTHERN,19,2015_19,22
2015,NORTHERN,20,2015_20,30
2015,NORTHERN,21,2015_21,34
2015,NORTHERN,22,2015_22,21
2015,NORTHERN,23,2015_23,20
2015,NORTHERN,24,2015_24,24
2015,NORTHERN,25,2015_25,24
2015,NORTHERN,26,2015_26,25
2015,NORTHERN,27,2015_27,25
2015,NORTHERN,28,2015_28,29
2015,NORTHERN,29,2015_29,19
2015,NORTHERN,30,2015_30,25
2015,NORTHERN,31,2015_31,19
2015,NORTHERN,32,2015_32,21
2015,NORTHERN,33,2015_33,15
2015,NORTHERN,34,2015_34,16
2015,NORTHERN,35,2015_35,13
2015,NORTHERN,36,2015_36,25
2015,NORTHERN,37,2015_37,26
2015,NORTHERN,38,2015_38,31
2015,NORTHERN,39,2015_39,31
2015,NORTHERN,40,2015_40,20
2015,NORTHERN,41,2015_41,33
2015,NORTHERN,42,2015_42,24
2015,NORTHERN,43,2015_43,16
2015,NORTHERN,44,2015_44,23
2015,NORTHERN,45,2015_45,30
2015,NORTHERN,46,2015_46,13
2015,NORTHERN,47,2015_47,12
2015,NORTHERN,48,2015_48,19
2015,NORTHERN,49,2015_49,17
2015,NORTHERN,50,2015_50,27
2015,NORTHERN,51,2015_51,18
2015,NORTHERN,52,2015_52,19
2015,NORTHERN,53,2015_53,6
2016,NORTHERN,1,2016_1,16
2016,NORTHERN,2,2016_2,16
2016,NORTHERN,3,2016_3,5
2016,NORTHERN,4,2016_4,16
2016,NORTHERN,5,2016_5,19
2016,NORTHERN,6,2016_6,14
2016,NORTHERN,7,2016_7,15
2016,NORTHERN,8,2016_8,16
2016,NORTHERN,9,2016_9,14
2016,NORTHERN,10,2016_10,18
2016,NORTHERN,11,2016_11,10
2016,NORTHERN,12,2016_12,28
2016,NORTHERN,13,2016_13,14
2016,NORTHERN,14,2016_14,17
2016,NORTHERN,15,2016_15,19
2016,NORTHERN,16,2016_16,23
2016,NORTHERN,17,2016_17,17
2016,NORTHERN,18,2016_18,19
2016,NORTHERN,19,2016_19,22
2016,NORTHERN,20,2016_20,22
2016,NORTHERN,21,2016_21,25
2016,NORTHERN,22,2016_22,28
2016,NORTHERN,23,2016_23,28
2016,NORTHERN,24,2016_24,23
2016,NORTHERN,25,2016_25,23
2016,NORTHERN,26,2016_26,20
2016,NORTHERN,27,2016_27,22
2016,NORTHERN,28,2016_28,20
2016,NORTHERN,29,2016_29,24
2016,NORTHERN,30,2016_30,26
2016,NORTHERN,31,2016_31,22
2016,NORTHERN,32,2016_32,15
2016,NORTHERN,33,2016_33,20
2016,NORTHERN,34,2016_34,18
2016,NORTHERN,35,2016_35,22
2016,NORTHERN,36,2016_36,18
2016,NORTHERN,37,2016_37,26
2016,NORTHERN,38,2016_38,28
2016,NORTHERN,39,2016_39,22
2016,NORTHERN,40,2016_40,18
2016,NORTHERN,41,2016_41,22
2016,NORTHERN,42,2016_42,29
2016,NORTHERN,43,2016_43,26
2016,NORTHERN,44,2016_44,15
2016,NORTHERN,45,2016_45,18
2016,NORTHERN,46,2016_46,27
2016,NORTHERN,47,2016_47,26
2016,NORTHERN,48,2016_48,18
2016,NORTHERN,49,2016_49,22
2016,NORTHERN,50,2016_50,18
2016,NORTHERN,51,2016_51,21
2016,NORTHERN,52,2016_52,16
2017,NORTHERN,1,2017_1,25
2017,NORTHERN,2,2017_2,15
2017,NORTHERN,3,2017_3,12
2017,NORTHERN,4,2017_4,23
2017,NORTHERN,5,2017_5,31
2017,NORTHERN,6,2017_6,25
2017,NORTHERN,7,2017_7,25
2017,NORTHERN,8,2017_8,18
2017,NORTHERN,9,2017_9,12
2017,NORTHERN,10,2017_10,22
2017,NORTHERN,11,2017_11,13
2017,NORTHERN,12,2017_12,32
