Year,PoliceDistrict,Week_Number,Year_Week_Number,NoOfCrimes
2014,SOUTHEAST,1,2014_1,0
2014,SOUTHEAST,2,2014_2,0
2014,SOUTHEAST,3,2014_3,0
2014,SOUTHEAST,4,2014_4,0
2014,SOUTHEAST,5,2014_5,2
2014,SOUTHEAST,6,2014_6,0
2014,SOUTHEAST,7,2014_7,0
2014,SOUTHEAST,8,2014_8,0
2014,SOUTHEAST,9,2014_9,0
2014,SOUTHEAST,10,2014_10,0
2014,SOUTHEAST,11,2014_11,0
2014,SOUTHEAST,12,2014_12,0
2014,SOUTHEAST,13,2014_13,1
2014,SOUTHEAST,14,2014_14,1
2014,SOUTHEAST,15,2014_15,0
2014,SOUTHEAST,16,2014_16,1
2014,SOUTHEAST,17,2014_17,0
2014,SOUTHEAST,18,2014_18,0
2014,SOUTHEAST,19,2014_19,0
2014,SOUTHEAST,20,2014_20,0
2014,SOUTHEAST,21,2014_21,0
2014,SOUTHEAST,22,2014_22,0
2014,SOUTHEAST,23,2014_23,0
2014,SOUTHEAST,24,2014_24,0
2014,SOUTHEAST,25,2014_25,0
2014,SOUTHEAST,26,2014_26,0
2014,SOUTHEAST,27,2014_27,1
2014,SOUTHEAST,28,2014_28,0
2014,SOUTHEAST,29,2014_29,0
2014,SOUTHEAST,30,2014_30,0
2014,SOUTHEAST,31,2014_31,0
2014,SOUTHEAST,32,2014_32,0
2014,SOUTHEAST,33,2014_33,0
2014,SOUTHEAST,34,2014_34,0
2014,SOUTHEAST,35,2014_35,0
2014,SOUTHEAST,36,2014_36,0
2014,SOUTHEAST,37,2014_37,0
2014,SOUTHEAST,38,2014_38,1
2014,SOUTHEAST,39,2014_39,2
2014,SOUTHEAST,40,2014_40,1
2014,SOUTHEAST,41,2014_41,1
2014,SOUTHEAST,42,2014_42,0
2014,SOUTHEAST,43,2014_43,0
2014,SOUTHEAST,44,2014_44,0
2014,SOUTHEAST,45,2014_45,0
2014,SOUTHEAST,46,2014_46,0
2014,SOUTHEAST,47,2014_47,0
2014,SOUTHEAST,48,2014_48,0
2014,SOUTHEAST,49,2014_49,0
2014,SOUTHEAST,50,2014_50,0
2014,SOUTHEAST,51,2014_51,0
2014,SOUTHEAST,52,2014_52,0
2015,SOUTHEAST,1,2015_1,0
2015,SOUTHEAST,2,2015_2,0
2015,SOUTHEAST,3,2015_3,0
2015,SOUTHEAST,4,2015_4,0
2015,SOUTHEAST,5,2015_5,1
2015,SOUTHEAST,6,2015_6,1
2015,SOUTHEAST,7,2015_7,0
2015,SOUTHEAST,8,2015_8,0
2015,SOUTHEAST,9,2015_9,0
2015,SOUTHEAST,10,2015_10,0
2015,SOUTHEAST,11,2015_11,0
2015,SOUTHEAST,12,2015_12,0
2015,SOUTHEAST,13,2015_13,0
2015,SOUTHEAST,14,2015_14,0
2015,SOUTHEAST,15,2015_15,0
2015,SOUTHEAST,16,2015_16,0
2015,SOUTHEAST,17,2015_17,1
2015,SOUTHEAST,18,2015_18,1
2015,SOUTHEAST,19,2015_19,1
2015,SOUTHEAST,20,2015_20,0
2015,SOUTHEAST,21,2015_21,0
2015,SOUTHEAST,22,2015_22,0
2015,SOUTHEAST,23,2015_23,0
2015,SOUTHEAST,24,2015_24,0
2015,SOUTHEAST,25,2015_25,0
2015,SOUTHEAST,26,2015_26,1
2015,SOUTHEAST,27,2015_27,0
2015,SOUTHEAST,28,2015_28,0
2015,SOUTHEAST,29,2015_29,0
2015,SOUTHEAST,30,2015_30,0
2015,SOUTHEAST,31,2015_31,0
2015,SOUTHEAST,32,2015_32,0
2015,SOUTHEAST,33,2015_33,2
2015,SOUTHEAST,34,2015_34,1
2015,SOUTHEAST,35,2015_35,1
2015,SOUTHEAST,36,2015_36,0
2015,SOUTHEAST,37,2015_37,0
2015,SOUTHEAST,38,2015_38,0
2015,SOUTHEAST,39,2015_39,0
