Year,PoliceDistrict,Week_Number,Year_Week_Number,NoOfCrimes
2014,NORTHEAST,1,2014_1,81
2014,NORTHEAST,2,2014_2,75
2014,NORTHEAST,3,2014_3,99
2014,NORTHEAST,4,2014_4,79
2014,NORTHEAST,5,2014_5,82
2014,NORTHEAST,6,2014_6,105
2014,NORTHEAST,7,2014_7,58
2014,NORTHEAST,8,2014_8,85
2014,NORTHEAST,9,2014_9,83
2014,NORTHEAST,10,2014_10,84
2014,NORTHEAST,11,2014_11,80
2014,NORTHEAST,12,2014_12,67
2014,NORTHEAST,13,2014_13,79
2014,NORTHEAST,14,2014_14,104
2014,NORTHEAST,15,2014_15,99
2014,NORTHEAST,16,2014_16,90
2014,NORTHEAST,17,2014_17,95
2014,NORTHEAST,18,2014_18,91
2014,NORTHEAST,19,2014_19,97
2014,NORTHEAST,20,2014_20,98
2014,NORTHEAST,21,2014_21,116
2014,NORTHEAST,22,2014_22,93
2014,NORTHEAST,23,2014_23,82
2014,NORTHEAST,24,2014_24,98
2014,NORTHEAST,25,2014_25,121
2014,NORTHEAST,26,2014_26,138
2014,NORTHEAST,27,2014_27,112
2014,NORTHEAST,28,2014_28,114
2014,NORTHEAST,29,2014_29,119
2014,NORTHEAST,30,2014_30,126
2014,NORTHEAST,31,2014_31,88
2014,NORTHEAST,32,2014_32,110
2014,NORTHEAST,33,2014_33,140
2014,NORTHEAST,34,2014_34,115
2014,NORTHEAST,35,2014_35,110
2014,NORTHEAST,36,2014_36,113
2014,NORTHEAST,37,2014_37,72
2014,NORTHEAST,38,2014_38,110
2014,NORTHEAST,39,2014_39,112
2014,NORTHEAST,40,2014_40,105
2014,NORTHEAST,41,2014_41,111
2014,NORTHEAST,42,2014_42,122
2014,NORTHEAST,43,2014_43,129
2014,NORTHEAST,44,2014_44,132
2014,NORTHEAST,45,2014_45,117
2014,NORTHEAST,46,2014_46,98
2014,NORTHEAST,47,2014_47,118
2014,NORTHEAST,48,2014_48,122
2014,NORTHEAST,49,2014_49,119
2014,NORTHEAST,50,2014_50,125
2014,NORTHEAST,51,2014_51,112
2014,NORTHEAST,52,2014_52,94
2015,NORTHEAST,1,2015_1,47
2015,NORTHEAST,2,2015_2,88
2015,NORTHEAST,3,2015_3,106
2015,NORTHEAST,4,2015_4,94
2015,NORTHEAST,5,2015_5,114
2015,NORTHEAST,6,2015_6,76
2015,NORTHEAST,7,2015_7,85
2015,NORTHEAST,8,2015_8,66
2015,NORTHEAST,9,2015_9,89
2015,NORTHEAST,10,2015_10,66
2015,NORTHEAST,11,2015_11,105
2015,NORTHEAST,12,2015_12,84
2015,NORTHEAST,13,2015_13,104
2015,NORTHEAST,14,2015_14,81
2015,NORTHEAST,15,2015_15,97
2015,NORTHEAST,16,2015_16,108
2015,NORTHEAST,17,2015_17,99
2015,NORTHEAST,18,2015_18,120
2015,NORTHEAST,19,2015_19,105
2015,NORTHEAST,20,2015_20,94
2015,NORTHEAST,21,2015_21,132
2015,NORTHEAST,22,2015_22,106
2015,NORTHEAST,23,2015_23,140
2015,NORTHEAST,24,2015_24,122
2015,NORTHEAST,25,2015_25,106
2015,NORTHEAST,26,2015_26,116
2015,NORTHEAST,27,2015_27,110
2015,NORTHEAST,28,2015_28,104
2015,NORTHEAST,29,2015_29,115
2015,NORTHEAST,30,2015_30,115
2015,NORTHEAST,31,2015_31,121
2015,NORTHEAST,32,2015_32,142
2015,NORTHEAST,33,2015_33,112
2015,NORTHEAST,34,2015_34,110
