CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,vri_name1,Total Incidents
06/01/2020,00:00:00,2A,6700 MORAVIA PARK DR,RAPE,O,OTHER,,NORTHEAST,PULASKI INDUSTRIAL AREA,,,,OTHER - OUTSIDE,,1
06/01/2020,18:32:00,2A,3200 AUCHENTOROLY TER,RAPE,I,OTHER,732.0,WESTERN,WOODBROOK,-76.647174880167,39.317682863471,,ROW/TOWNHOUSE-OCC,,1
05/31/2020,02:00:00,2A,3300 RAMONA AVE,RAPE,I,OTHER,432.0,NORTHEAST,BELAIR-EDISON,-76.564234698762,39.323710555626,,APT/CONDO - OCCUPIED,Northeastern,1
05/29/2020,22:30:00,2A,5100 FALLS RD,RAPE,I,OTHER,534.0,NORTHERN,CROSS KEYS,-76.644335073148,39.355957036574004,,HOTEL/MOTEL,,1
05/25/2020,08:00:00,2A,2200 PENROSE AVE,RAPE,I,OTHER,714.0,WESTERN,PENROSE/FAYETTE ST OUTREACH,-76.65173373283301,39.291199548986,,ROW/TOWNHOUSE-OCC,,1
05/24/2020,18:30:00,2A,5200 FRANKFORD AVE,RAPE,,OTHER,443.0,NORTHEAST,FRANKFORD,-76.540991941299,39.326082164389,,,,1
05/23/2020,01:00:00,2A,2400 LAKEVIEW AVE,RAPE,I,OTHER,133.0,CENTRAL,RESERVOIR HILL,-76.63253997675601,39.31556673345,,ROW/TOWNHOUSE-OCC,,1
05/20/2020,00:01:00,2A,800 N STREEPER ST,RAPE,,OTHER,333.0,EASTERN,MADISON EASTEND,-76.57750983559801,39.300512780113,,,,1
05/18/2020,05:00:00,2A,4600 PALL MALL RD,RAPE,I,OTHER,532.0,NORTHERN,PARKLANE,-76.665042896673,39.342464867366,,HOSP/NURS. HOME,,1
05/17/2020,03:30:00,2A,700 EDMONDSON AVE,RAPE,,OTHER,121.0,CENTRAL,HERITAGE CROSSING,-76.630455822334,39.296096734819,,,Central,1
05/17/2020,05:00:00,2A,6700 DULUTH AVE,RAPE,I,OTHER,234.0,SOUTHEAST,GRACELAND PARK,-76.533562704589,39.278324355514,,ROW/TOWNHOUSE-OCC,,1
05/16/2020,05:00:00,2A,5800 REISTERSTOWN RD,RAPE,I,OTHER,631.0,NORTHWEST,REISTERSTOWN STATION,-76.694623902675,39.350673329224,,HOTEL/MOTEL,,1
05/15/2020,13:16:00,2A,5300 GOODNOW RD,RAPE,I,OTHER,443.0,NORTHEAST,FRANKFORD,-76.54305247698001,39.323619862962,,ROW/TOWNHOUSE-OCC,,1
05/13/2020,19:30:00,2A,200 N GAY ST,RAPE,I,OTHER,111.0,EASTERN,JONESTOWN,-76.608557086753,39.292633218664996,,HOTEL/MOTEL,,1
05/13/2020,22:30:00,2A,1600 N PULASKI ST,RAPE,I,OTHER,735.0,WESTERN,EASTERWOOD,-76.651186943916,39.306679370951,,ROW/TOWNHOUSE-OCC,Western,1
05/11/2020,21:35:00,2A,2400 WINCHESTER ST,RAPE,O,OTHER,723.0,WESTERN,BRIDGEVIEW/GREENLAWN,-76.655248559057,39.301726319202,,OTHER - OUTSIDE,,1
05/10/2020,12:30:00,2A,300 SAINT PAUL PL,RAPE,,OTHER,111.0,CENTRAL,DOWNTOWN,-76.613934846802,39.292374120953,,,,1
05/08/2020,01:00:00,2A,1100 STEELTON AVE,RAPE,,OTHER,234.0,SOUTHEAST,GRACELAND PARK,-76.536255928246,39.281199861416,,,,1
05/02/2020,15:00:00,2A,500 E BALTIMORE ST,RAPE,O,OTHER,111.0,CENTRAL,DOWNTOWN,-76.608865588781,39.289856038157,,BUS/AUTO,,1
04/30/2020,01:00:00,2A,1400 W 37TH ST,RAPE,I,OTHER,531.0,NORTHERN,HAMPDEN,-76.639051526297,39.331760754341005,,ROW/TOWNHOUSE-OCC,,1
04/29/2020,20:00:00,2A,900 STOLL ST,RAPE,O,OTHER,913.0,SOUTHERN,BROOKLYN,-76.59908440959,39.230351721476005,,BUS/AUTO,,1
04/20/2020,17:00:00,2A,2800 PARKWOOD AVE,RAPE,,OTHER,732.0,WESTERN,WOODBROOK,-76.646227931925,39.315248007666,,,Western,1
04/19/2020,00:40:00,2A,900 WILMOT CT,RAPE,I,OTHER,324.0,EASTERN,OLDTOWN,-76.604798108999,39.299190587822,,ROW/TOWNHOUSE-OCC,,1
04/18/2020,15:27:00,2A,5800 REISTERSTOWN RD,RAPE,,OTHER,631.0,NORTHWEST,REISTERSTOWN STATION,-76.694623902675,39.350673329224,,,,1
04/17/2020,12:00:00,2A,3300 OAKFIELD AVE,RAPE,O,OTHER,621.0,NORTHWEST,CENTRAL FOREST PARK,-76.686867178887,39.324751649814,,PARK,,1
04/09/2020,18:00:00,2A,1800 PENNSYLVANIA AVE,RAPE,I,OTHER,123.0,CENTRAL,UPTON,-76.635686123744,39.304297913558,,ROW/TOWNHOUSE-VAC,,1
04/08/2020,16:59:00,2A,6300 GREENSPRING AVE,RAPE,I,OTHER,632.0,NORTHWEST,CHESWOLDE,-76.681646119082,39.369836955433996,,APT/CONDO - OCCUPIED,,1
04/04/2020,18:00:00,2A,2900 E MONUMENT ST,RAPE,I,OTHER,333.0,EASTERN,ELLWOOD PARK/MONUMEN,-76.576448065361,39.29899959478,,ROW/TOWNHOUSE-OCC,,1
04/02/2020,16:32:00,2B,1200 RIDGELY ST,RAPE,O,OTHER,941.0,SOUTHERN,CARROLL - CAMDEN INDUSTRIAL AREA,-76.626517012755,39.277647354863,,STREET,,1
03/30/2020,10:45:00,2B,2900 CLEARVIEW AVE,RAPE,I,OTHER,424.0,NORTHEAST,NORTH HARFORD ROAD,-76.547126606847,39.370600160739,,ROW/TOWNHOUSE-OCC,,1
03/29/2020,13:30:00,2A,700 MOUNT HOLLY ST,RAPE,,OTHER,815.0,SOUTHWEST,EDMONDSON VILLAGE,-76.67982695449601,39.295706941072,,,,1
03/28/2020,21:00:00,2A,1800 RUXTON AVE,RAPE,O,OTHER,723.0,WESTERN,COPPIN HEIGHTS/ASHBU,-76.65501275663901,39.308980773677,,STREET,Western,1
03/25/2020,13:00:00,2B,1600 EDISON HWY,RAPE,I,OTHER,332.0,EASTERN,BEREA,-76.573111808877,39.309769940151,,APT/CONDO - OCCUPIED,,1
