CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,vri_name1,Total Incidents
06/06/2020,13:19:00,9S,1800 W NORTH AV,SHOOTING,Outside,FIREARM,734.0,WESTERN,SANDTOWN-WINCHESTER,-76.646579843889,39.309954503473,,STREET,Western,1
06/05/2020,17:29:36,9S,500 E COLD SPRING LA,SHOOTING,Outside,FIREARM,832.0,NORTHERN,VIOLETVILLE,-76.609528092829,39.346228907171,,STREET,,1
06/04/2020,03:02:00,9S,2200 AIKEN ST,SHOOTING,Outside,FIREARM,312.0,EASTERN,EAST BALTIMORE MIDWA,-76.599404088083,39.315164928544,,STREET,Eastern 1,1
06/04/2020,18:23:00,9S,3100 KENTUCKY AV,SHOOTING,Outside,FIREARM,432.0,NORTHEAST,BELAIR-EDISON,-76.569832777554,39.323287908523,,STREET,Northeastern,1
06/03/2020,21:14:27,9S,2100 MARYLAND AV,SHOOTING,Outside,FIREARM,232.0,NORTHERN,BAYVIEW,-76.618108456357,39.313224742761,,PARKING LOT,,1
06/03/2020,00:51:00,9S,3400 RAMONA AV,SHOOTING,Outside,FIREARM,432.0,NORTHEAST,BELAIR-EDISON,-76.56340180436999,39.323094171381996,,STREET,Northeastern,1
06/02/2020,18:46:00,9S,500 N CURLEY ST,SHOOTING,Outside,FIREARM,224.0,SOUTHEAST,ELLWOOD PARK/MONUMEN,-76.575857956506,39.297033742897,,STREET,,1
06/02/2020,18:46:00,9S,500 N CURLEY ST,SHOOTING,Outside,FIREARM,224.0,SOUTHEAST,ELLWOOD PARK/MONUMEN,-76.575857956506,39.297033742897,,STREET,,1
06/02/2020,23:00:00,9S,5600 HADDON AV,SHOOTING,Outside,FIREARM,634.0,NORTHWEST,GROVE PARK,-76.704238294157,39.337823647415,,STREET,,1
05/31/2020,18:23:00,9S,1300 N LUZERNE AV,SHOOTING,Outside,FIREARM,332.0,EASTERN,BEREA,-76.581375617778,39.305934039105,,STREET,,1
05/31/2020,23:31:00,9S,900 S CATON AV,SHOOTING,Outside,FIREARM,514.0,SOUTHWEST,CHARLES NORTH,-76.671511453948,39.273770549184,,HOSPITAL,,1
05/31/2020,03:00:00,9S,500 N PORT ST,SHOOTING,Outside,FIREARM,321.0,SOUTHEAST,DUNBAR,-76.58293713527,39.296763020513,,STREET,,1
05/31/2020,03:00:00,9S,500 N PORT ST,SHOOTING,Outside,FIREARM,321.0,SOUTHEAST,DUNBAR,-76.58293713527,39.296763020513,,STREET,,1
05/30/2020,03:18:00,9S,2100 WILKENS AV,SHOOTING,Inside,FIREARM,834.0,SOUTHWEST,CARROLLTON RIDGE,-76.649274243853,39.281302042782,,VEHICLE,Tri-District,1
05/30/2020,02:16:00,9S,100 W FRANKLIN ST,SHOOTING,Inside,FIREARM,124.0,CENTRAL,MOUNT VERNON,-76.616948743172,39.295129716893,,STREET,,1
05/30/2020,04:01:00,9S,300 KEY HWY,SHOOTING,Outside,FIREARM,112.0,CENTRAL,INNER HARBOR,-76.609814833496,39.280774799297,,PUBLIC AREA,,1
05/30/2020,00:55:00,9S,5200 REISTERSTOWN RD,SHOOTING,Outside,FIREARM,634.0,NORTHWEST,WOODMERE,-76.623694842265,39.288377775121,,STREET,,1
05/30/2020,19:07:00,9S,2100 RAMSAY ST,SHOOTING,Outside,FIREARM,834.0,SOUTHWEST,CARROLLTON RIDGE,-76.64986254353799,39.283047070272005,,ALLEY,Tri-District,1
05/30/2020,00:22:00,9S,2300 DRUID HILL AV,SHOOTING,Outside,FIREARM,733.0,WESTERN,PENN NORTH,-76.638586959347,39.310619389484,,STREET,,1
05/29/2020,21:28:00,9S,1600 MOUNTMOR CT,SHOOTING,Outside,FIREARM,734.0,WESTERN,SANDTOWN-WINCHESTER,-76.644582209224,39.306771475012,,PUBLIC HOUSING,Western,1
05/29/2020,16:19:00,9S,5400 PRICE AV,SHOOTING,Outside,FIREARM,634.0,NORTHWEST,WOODMERE,-76.686909567801,39.347471371118004,,ALLEY,,1
05/27/2020,22:59:00,9S,900 S CATON AV,SHOOTING,Outside,FIREARM,832.0,SOUTHWEST,VIOLETVILLE,-76.671511453948,39.273770549184,,HOSPITAL,,1
05/27/2020,19:38:02,9S,300 MARYDELL RD,SHOOTING,Inside,FIREARM,833.0,SOUTHWEST,IRVINGTON,-76.68970113832,39.280222591853,,DWELLING,,1
05/27/2020,15:40:00,9S,3100 BANCROFT RD,SHOOTING,Outside,FIREARM,632.0,NORTHWEST,CROSS COUNTRY,-76.695082031314,39.367356031427995,,STREET,,1
