Expanding_Window,Homicide,Robbery,Rape,Assault,Shooting
18.27,0.0,10.58,0.0,7.17,0.67
19.02,0.0,11.1,0.0,7.1,0.49
18.69,0.2683809523809523,10.78,0.0,7.14,0.53
18.56,0.03927777777777778,10.8,0.0,7.32,0.155
18.43,0.01,10.54,0.0,7.19,0.31
18.36,0.02,11.0,0.0,7.29,0.43
18.28,0.03,10.27,0.0,6.6,0.75
17.83,0.02571428571428571,10.6,0.0,7.15,0.54
18.77,0.04,10.85,0.0,7.39,0.53
19.38,0.0,10.89,0.0,7.58,0.33
18.61,0.0,10.71,0.0,7.88,0.73
20.33,0.0,10.66,0.0,7.74,0.655
19.19,0.0,10.79,0.0,7.52,0.49
17.76,0.0,10.43,0.0524161584197991,7.63,0.8
17.74,0.0175,10.57,0.04904977625779918,6.96,0.5191666666666667
18.22,0.0033333333333333327,11.27,0.0519834919578864,6.81,0.485
18.58,0.01,10.96,0.04893717410626991,7.62,0.41
19.31,0.042333333333333334,10.44,0.04794343468655425,7.31,0.49833333333333335
18.37,0.11866666666666666,10.63,0.049301118513403436,7.01,0.52
18.28,0.0,9.88,0.04723945843241191,7.07,0.33
17.74,0.07966666666666666,11.46,0.04861813916170063,6.77,0.28
18.83,0.060833333333333336,10.51,0.04881943378926879,6.5,0.16
16.5,0.06,10.62,0.04661355173955788,6.5,0.26
17.33,0.04,9.93,0.04823922609768362,6.46,0.28
17.96,0.2406904761904762,10.17,0.048126664596429385,6.06,0.35
17.47,0.08142857142857142,9.78,0.05116884578284678,5.75,0.3766666666666667
17.63,0.036000000000000004,9.75,0.046165023702925516,5.96,0.2
17.62,0.02,9.43,0.04846311410660869,6.46,0.45
18.06,0.165,10.01,0.04626342453871207,5.78,0.295
16.63,0.11,10.0,0.04515500006061532,5.6,0.18
16.84,0.035,8.88,0.042794192272528515,5.33,0.135
16.67,0.03333333333333333,8.19,0.046431821922363364,6.19,0.26
16.85,0.12,8.52,0.04462619980146791,5.97,0.29
17.14,0.3425,9.58,0.04535813062685061,6.1,0.14
17.98,0.0,11.02,0.04142779139700272,6.47,0.82
18.58,0.0,10.58,0.0459572795483312,6.91,0.49
18.8,0.08305243658067812,10.09,0.043773627295603634,5.93,0.48
16.78,0.07780639441572852,9.38,0.04220252960302587,6.52,0.4333333333333333
15.9,0.0809719203916064,9.39,0.04344056384760682,7.58,0.39233333333333337
17.63,0.0803781572117445,9.99,0.04415296917687543,7.11,0.44
17.35,0.08294041088955546,10.55,0.043162176381173034,6.48,0.35
16.82,0.07633516994274171,10.57,0.04200070300240388,6.85,0.35
18.07,0.07911479637854084,11.57,0.0429222636849855,6.06,0.36
17.58,0.08048921164079982,9.81,0.03913011911887818,4.95,0.37
14.7,0.07643318163046388,9.76,0.0402819239078468,4.91,0.29
16.37,0.07440084365558594,9.98,0.04053425761738855,6.0,0.3433333333333334
15.83,0.39617826617826624,10.9,0.04160093532857051,6.26,0.41666666666666663
16.83,0.007857142857142858,9.94,0.04228925408079158,5.8,0.24375
15.17,0.0,8.83,0.040228521756663714,5.93,0.16272727272727272
13.98,0.25124206349206346,9.11,0.042775965052429005,5.32,0.39
15.24,,,,,
