Expanding_Window,Homicide,Robbery,Rape,Assault,Shooting
16.71,0.0,6.1,0.0,2.82,0.0
18.57,0.0,6.19,0.0,2.54,0.0
19.36,0.0,6.37,0.0,2.66,0.0
17.57,0.0,6.62,0.0,2.52,0.0
18.73,0.0,7.02,0.0,2.37,0.0
19.21,0.0,7.14,0.0,2.26,0.0
19.44,0.0,6.67,0.0,2.33,0.0
18.9,0.0,6.4,0.0,2.49,0.0
18.31,0.0,6.63,0.0,2.44,0.0
19.18,0.0,6.54,0.0,2.39,0.0
18.43,0.0,6.24,0.0,2.22,0.0
18.19,0.0,6.19,0.0,2.5,0.0
16.8,0.0,5.96,0.0,2.4,0.0
17.24,0.0,5.86,0.0,2.2,0.0
16.65,0.0,6.47,0.0,2.45,0.0
16.38,0.0,5.97,0.0,2.28,0.0
19.03,0.0,5.67,0.0,2.39,0.0
17.73,0.0,5.67,0.0,2.29,0.0
18.06,0.0,5.63,0.0,2.18,0.0
16.84,0.0,5.53,0.0,2.09,0.0
17.37,0.0,5.81,0.0,2.38,0.0
15.97,0.0,5.84,0.0,2.13,0.0
17.85,0.0,5.59,0.0,2.22,0.0
17.36,0.0,5.85,0.0,2.02,0.0
16.62,0.0,5.69,0.0,2.09,0.0
16.54,0.0,6.06,0.0,2.25,0.0
14.74,0.0,5.98,0.0,2.26,0.0
15.82,0.0,5.88,0.0,2.17,0.0
15.25,0.0,5.4,0.0,1.84,0.0
14.56,0.0,5.92,0.0,1.89,0.0
14.15,0.0,5.83,0.0,1.99,0.0
15.68,0.0,5.35,0.0,2.07,0.0
14.61,0.0,5.81,0.0,1.83,0.0
14.33,0.0,6.01,0.0,1.88,0.0
17.38,0.0,5.5,0.0,1.97,0.0
21.02,0.0,5.88,0.0,1.9,0.0
17.6,0.0,5.66,0.0,2.18,0.0
16.86,0.0,5.23,0.0,2.07,0.0
16.74,0.0,5.78,0.0,2.14,0.0
16.01,0.0,5.63,0.0,2.11,0.0
15.7,0.0,5.38,0.0,2.01,0.0
13.97,0.0,5.13,0.0,2.32,0.0
15.92,0.0,4.79,0.0,2.08,0.0
15.07,0.0,4.68,0.0,2.09,0.0
16.71,0.0,4.39,0.0,2.15,0.0
15.78,0.0,4.41,0.0,2.22,0.0
14.42,0.0,3.86,0.0,2.12,0.0
13.9,0.0,3.64,0.0,2.22,0.0
14.11,0.0,3.67,0.0,2.11,0.0
13.85,0.0,3.65,0.0,2.02,0.0
15.57,,,,,
