Expanding_Window,Homicide,Robbery,Rape,Assault,Shooting
10.3,0.0,7.5,0.0034946412789190035,2.45,0.3112619047619047
10.62,0.0,7.65,0.004007914579044692,2.35,0.0
10.84,0.0,7.24,0.003436644835236289,2.21,0.0
10.75,0.0,7.28,0.004181627732930112,2.11,0.0
10.84,0.0,7.97,0.003547047890869027,2.2,0.0
10.63,0.0,8.72,0.003349467322210402,2.34,0.0
10.67,0.0,7.61,0.004197443952757129,2.1,0.0
9.85,0.0,8.32,0.003843813843075091,1.92,0.0
10.42,0.0,7.59,0.003688447791232064,2.13,0.0
10.09,0.0,8.31,0.0044357636760764,1.73,0.0
10.62,0.0,8.01,0.003363360901691291,1.93,0.0
9.38,0.0,8.97,0.004148024627650914,2.14,0.0
11.03,0.0,8.58,0.0032854788957818602,2.34,0.0
10.75,0.0,8.41,0.004143830018382536,2.35,0.0
11.41,0.0,8.52,0.003540887774441228,2.42,0.0
11.11,0.0,7.95,0.004341809442719245,2.41,0.0
10.11,0.0,8.04,0.003255425155713331,2.05,0.0
10.06,0.0,7.98,0.0037943130445538967,2.23,0.0
10.21,0.0,7.39,0.003692454874906804,2.31,0.0
10.04,0.0,7.3,0.003775506478974796,1.82,0.0025
10.64,0.0,7.27,0.003746599299502653,2.03,0.018850743597701117
10.0,0.0,7.41,0.0039282256548584405,1.94,0.020231896906172917
9.24,0.0,7.58,0.003429987009436685,2.23,0.020649690143430082
9.82,0.0,7.05,0.0042228268588228425,2.07,0.019891629355709105
9.73,0.0,7.07,0.004265084481761555,1.83,0.01936628670500689
9.58,0.0,7.04,0.003538033945908448,2.12,0.018307060797529688
9.32,0.0,7.0,0.003304711204239974,2.28,0.01887825962541559
8.87,0.0,6.77,0.004041618982477472,2.06,0.018401245580952
8.12,0.0,6.73,0.004319106668000165,2.24,0.018516947730143243
7.61,0.0,7.12,0.003148649121768949,1.96,0.019328564224159513
8.92,0.0,6.87,0.003949113591749855,2.16,0.01764249003664152
8.62,0.0,6.39,0.0034681674512600184,2.0,0.018779202341665285
8.68,0.0,6.51,0.003386243783822393,2.13,0.01717490798456399
8.26,0.0,6.19,0.004101885895200133,1.96,0.018085626755370246
8.16,0.0,6.2,0.0036854873295222297,1.85,0.018198398646332867
8.51,0.0,6.62,0.003064637290625088,1.71,0.017749649249905762
8.35,0.0,5.9,0.003292892788898457,1.99,0.016969572287620777
7.51,0.0,6.03,0.003367469868119158,2.02,0.018152419433601855
7.7,0.0,6.25,0.002821258478862757,2.15,0.017372606909312936
8.79,0.0,5.73,0.0037083709684042508,2.34,0.01777339026558822
8.75,0.0,5.95,0.0033991080324035287,2.41,0.01934049994544753
8.59,0.0,5.04,0.0040797680895662365,2.21,0.017881584101847772
7.78,0.0,5.16,0.003481100739575656,2.61,0.01875336231605272
8.28,0.0,5.28,0.003297293554602739,2.35,0.01755753246509785
7.36,0.0,4.95,0.0030895962486621213,2.33,0.016462990060718746
7.37,0.0,4.68,0.003537272722070346,2.23,0.017367280276934474
7.72,0.0,5.28,0.0034603601919755357,1.89,0.018295110039173338
7.08,0.0,5.49,0.003845966717403924,2.45,0.01849239218143268
8.76,0.0,5.22,0.0037777969146494256,2.3,0.018176073446332756
7.54,0.0,5.21,0.0027806240332513953,2.14,0.017539545078647602
8.24,,,,,
