Expanding_Window,Homicide,Robbery,Rape,Assault,Shooting
15.47,0.0032036917448609982,7.68,0.007967134801446452,3.26,0.07166666666666666
18.1,0.004078553573151459,7.87,0.00897715648375778,3.18,0.0
17.11,0.003776346673752912,7.25,0.00982270117320925,3.23,0.015166666666666667
17.47,0.004256125681061294,7.81,0.007882240404269068,3.19,0.02
15.79,0.004469208843322412,7.66,0.008373033251357125,3.41,0.10533333333333333
17.63,0.00391770441440556,7.69,0.009965957141680248,3.46,0.04
19.28,0.003806201490979775,7.56,0.008236540600523694,3.6,0.04
17.57,0.0035646810476848345,8.84,0.006931066144906932,3.2,0.07816666666666668
18.69,0.0035813177537904455,8.86,0.009055445511942454,3.19,0.0
18.12,0.00344903242285716,8.46,0.0083388589540709,3.27,0.01
18.13,0.0030918822327525323,8.53,0.0074573121652916985,3.57,0.0
17.55,0.004400891842753017,8.27,0.0096706245178959,3.33,0.0
17.51,0.003946736476164992,11.7,0.007923721646159045,3.17,0.005
18.05,0.003738807353819849,9.4,0.008686617300992405,3.36,0.3289657287157287
17.34,0.004106114813546806,9.38,0.007778968565929403,3.45,0.5221349206349205
19.25,0.0039394782811387865,8.74,0.008615829448502733,2.98,0.014285714285714284
18.24,0.003957036481436585,12.84,0.00902484016007804,3.45,0.0
16.89,0.003968384460446246,10.37,0.00871243925823594,3.23,0.0
17.13,0.004028120244714857,8.4,0.007587141335642676,3.28,0.0
17.84,0.0036638239778650173,8.31,0.009542575047045188,3.4,0.1691666666666667
16.66,0.004473043022835032,8.59,0.009347710066969302,3.15,0.01
14.0,0.003330277190669144,7.82,0.00793019969827,3.27,0.04726190476190476
16.1,0.003479652550728132,7.52,0.008159994401751693,2.88,0.051428571428571435
15.22,0.004707425275177516,6.86,0.008755890860362,2.86,0.01
13.44,0.003994158173287472,7.14,0.008245922424787167,3.11,0.0
14.53,0.003740246914210036,7.45,0.008391964578271092,3.08,0.31926984126984126
14.45,0.0035272991996532174,6.77,0.007968339023749051,3.25,0.003333333333333333
13.97,0.003736375834029753,6.49,0.007801967063357895,3.18,0.0
12.99,0.003410489797189361,6.2,0.008694691582294502,2.96,0.33473304473304466
11.82,0.0034629733542575203,6.78,0.007315620137876581,2.8,0.4055372127872128
12.82,0.003665405339036714,6.8,0.008977236143352626,3.09,0.005
12.82,0.0032521556024299445,6.98,0.007642760519031061,3.2,0.0
12.65,0.0033280705326160804,7.43,0.007652853052711081,3.35,0.0
12.55,0.003479346782310358,7.71,0.0077700354260575345,3.19,0.2655595238095237
12.16,0.0029923356784123108,7.29,0.008234752487891694,2.57,0.017595238095238094
12.83,0.0035753065314603092,7.32,0.007811512786973575,2.57,0.0
12.93,0.003634593892204117,6.81,0.007490432487433692,2.48,0.0
13.81,0.003830816908089634,6.9,0.00774724675413643,2.53,0.0
12.95,0.00356323260060684,7.02,0.008404056730392255,2.78,0.0
14.76,0.004340244845159494,6.52,0.007721538572120525,2.69,0.07699029476519406
13.81,0.0032431368580878037,6.71,0.008438400740554755,2.86,0.07375869309286115
13.12,0.0029311050162267372,6.51,0.007911964955686544,2.41,0.06697998901817387
13.26,0.003811101329349479,5.65,0.006661191185723018,2.77,0.06777493176287584
12.68,0.003185279599278697,5.6,0.0066909747269724715,2.64,0.0713009351928326
12.46,0.003396536068968285,5.91,0.007665056896507714,2.47,0.06863760916676911
12.41,0.0037849568826588366,5.85,0.007216609494146602,2.37,0.06963624681984298
13.09,0.003364164651436761,5.82,0.00931672843336842,2.48,0.070659997633002
12.71,0.0033698012396191517,6.02,0.007651002391365702,2.56,0.06760940566436527
12.65,0.003261531550275626,5.45,0.0069318936525745965,2.78,0.06472868789010612
12.19,0.0034570373327553893,5.61,0.007174285415611242,3.24,0.0
11.68,,,,,
