Expanding_Window,Homicide,Robbery,Rape,Assault,Shooting
18.53,0.0,13.9,0.00904784567800231,4.88,0.11
18.76,0.0,13.09,0.008295202923188355,4.89,0.085
17.42,0.0,13.47,0.007895473105694413,4.87,0.06
18.35,0.0,14.53,0.0082792774960732,4.82,0.33233333333333337
18.73,0.0,13.66,0.00927677827711877,4.71,0.24516666666666664
18.27,0.0,14.06,0.008390030420283502,4.85,0.1
18.58,0.0,13.51,0.008176049766244772,4.6,0.05766666666666666
17.66,0.0,13.41,0.008279176053294259,4.11,0.14
17.56,0.0,13.47,0.008671069929726667,4.14,0.03
18.11,0.0,14.51,0.0073407629666892935,4.02,0.01
18.65,0.0,14.7,0.007910716877790012,4.52,0.04
20.0,0.0,13.67,0.009073300776090438,4.18,0.07
17.77,0.0,13.14,0.007544231116072566,3.85,0.56
17.66,0.0,13.67,0.008501049919696201,3.92,0.7
17.77,0.0,13.45,0.00807513034444738,4.21,0.32
17.72,0.0,12.91,0.008072549682666668,4.05,0.18
16.77,0.0,13.24,0.008105312559281404,3.96,0.16
15.57,0.0,13.58,0.008340766952963439,3.92,0.004741094883888577
16.66,0.0,12.1,0.007808792945274509,3.47,0.004687120885153681
15.41,0.0,11.34,0.008246827322528688,3.64,0.004593615119325807
15.37,0.0,11.19,0.008059572819790037,3.77,0.11
15.02,0.0,11.63,0.007957794938309566,3.54,0.07
15.32,0.0,11.34,0.007782601008093297,3.59,0.65
15.2,0.0,11.34,0.007841469123699842,4.12,0.12899999999999998
15.94,0.0,10.79,0.007854912614497878,3.24,0.02
15.38,0.0,10.79,0.007465967631644636,3.14,0.0
14.71,0.0,10.4,0.009196408137023368,3.42,0.03166666666666666
14.29,0.0,9.92,0.00742677685482789,3.32,0.5033333333333333
14.63,0.0,9.45,0.007911327716548688,3.38,0.09033333333333333
14.07,0.0,10.06,0.008001898477233378,3.49,0.02685714285714286
13.75,0.0,10.53,0.0072728735676405734,3.74,0.0
13.68,0.0,10.16,0.008410016811561545,3.83,0.01
14.51,0.0,10.9,0.008698084864122144,3.45,0.017833333333333333
14.7,0.0,11.72,0.008437919446623058,3.91,0.0
15.5,0.0,11.63,0.007436423947816914,4.17,0.015
16.11,0.0,9.99,0.008104931542912886,3.42,0.04
13.59,0.0,10.83,0.008519377166706291,3.32,0.57
12.42,0.0,10.57,0.008422046509188947,3.39,0.3125
13.4,0.0,12.02,0.007285704362618514,3.33,0.08583333333333332
15.33,0.0,9.65,0.007843007668085072,3.22,0.02
13.47,0.0,8.76,0.007138562962884572,3.03,0.010326256896004098
11.87,0.0,8.44,0.0077626984233595125,3.25,0.009284818010861421
11.51,0.0,8.02,0.0069762666602910745,3.17,0.008279478855315629
11.5,0.0,8.6,0.008395201075086949,3.78,0.00881519520976493
11.66,0.0,8.51,0.007620274586355388,3.09,0.008613240635777895
10.76,0.0,8.7,0.007385245914146744,2.94,0.009487991058122128
10.89,0.0,8.2,0.007651704484688141,3.04,0.00789573180019883
10.03,0.0,10.46,0.007278264553438733,3.39,0.009111769620008241
12.88,0.0,11.95,0.0074846350060073065,3.3,0.008874166759490782
11.8,0.0,8.9,0.008261150381158738,3.42,0.009293280969664591
11.07,,,,,
