Expanding_Window,Homicide,Robbery,Rape,Assault,Shooting
8.65,0.0,12.2,0.008762008231659367,4.61,0.31016666666666665
9.25,0.0,11.11,0.008515352761054829,4.61,0.0
9.16,0.0,11.42,0.009978712065739873,4.65,0.016666666666666666
9.35,0.0,10.79,0.008902022739995455,4.74,0.01
9.23,0.0,11.69,0.0,5.17,0.11
9.41,0.0,13.16,0.0,5.67,0.06
9.08,0.0,12.28,0.0,5.55,0.0
8.94,0.0,12.97,0.0,5.98,0.18
9.08,0.0,12.45,0.0,5.7,0.02
8.23,0.0,12.81,0.0,5.59,0.06
9.22,0.0,11.64,0.0,5.17,0.07
8.78,0.0,11.53,0.0,5.62,0.05
8.29,0.0,12.94,0.0,5.7,0.17
8.53,0.00419516017993223,12.88,0.0,5.27,0.10166666666666668
7.99,0.003392585952384423,12.14,0.0,5.19,0.07
8.53,0.0038637370753110507,11.94,0.0,4.99,0.01
8.33,0.003508591055099681,11.32,0.0,5.03,0.0875
8.26,0.004003630461992452,11.9,0.0,4.88,0.09
7.95,0.0039426553748753215,10.85,0.0,5.37,0.2
7.68,0.0035516480759029048,11.43,0.0,3.95,0.05
8.31,0.003786489081431051,10.31,0.0,4.47,0.02
8.3,0.004168277348713913,10.64,0.0,4.94,0.07
8.02,0.004250051155587693,10.63,0.0,4.44,0.2
7.59,0.003464087137296132,9.23,0.0,4.6,0.16
7.71,0.003434145395716097,10.66,0.0125085550234056,4.19,0.01
7.85,0.0043456813758021625,9.98,0.012727429882977393,3.81,0.15
8.64,0.003711950785151672,10.06,0.0132508935188392,3.88,0.06
8.76,0.003116886796609734,9.6,0.012655553724240643,3.99,0.31333333333333335
8.41,0.004384346366576464,8.31,0.01273783221092172,3.46,0.55
7.54,0.0035569120035045102,9.54,0.01322306177077965,3.46,0.17
7.99,0.0037256096124495828,9.5,0.01248166100004484,3.65,0.10800000000000001
7.97,0.003575964311563872,9.87,0.013434902368700229,3.35,0.12
7.43,0.003350409167501212,9.11,0.012669025184844576,3.3,0.05
7.95,0.0037887833595991547,8.7,0.012846466760687148,3.34,0.01
7.46,0.003595349959415564,8.67,0.012160312709289602,3.48,0.02333333333333333
7.99,0.003895388537929497,9.02,0.012768302359662849,3.86,0.3
9.0,0.003666133986178896,9.85,0.011165289413366754,3.8,0.02333333333333333
7.77,0.004236178214396364,9.81,0.01218547160682581,3.6,0.08833333333333333
7.49,0.003467582852049541,10.67,0.01139748996230427,3.93,0.03571428571428571
7.59,0.004072774801482193,8.79,0.012708981437456593,3.83,0.02
7.96,0.004213258087579906,9.39,0.012639429272628186,4.01,0.01
7.5,0.0039699625885002005,9.28,0.012842162254357376,3.84,0.01
6.72,0.002812775364999561,9.17,0.011974040231164915,3.78,0.015
6.8,0.0038419317097267563,8.64,0.011836461942186184,3.88,0.0
6.31,0.004109658906043832,8.49,0.011192392029544551,3.29,0.02
6.27,0.004270408158237329,8.38,0.01202582412042563,3.79,0.002
6.23,0.003658844362210443,8.61,0.01187484472218394,4.03,0.01
6.26,0.0039244530059928855,8.48,0.011186114379058866,4.05,0.3529404761904761
6.05,0.0032043451112067,7.78,0.010978693120316177,3.41,0.02333333333333333
6.35,0.003631121625457625,7.48,0.010205823664991622,3.46,0.01
5.94,,,,,
