Expanding_Window,Homicide,Robbery,Rape,Assault,Shooting
11.28,0.0,8.85,0.009415002842650044,5.58,0.23277313566936209
11.26,0.0,9.09,0.009034715746009536,5.98,0.17285714285714288
11.34,0.0,9.02,0.009015944212040002,5.66,0.07453571428571429
11.2,0.0,9.31,0.009412778430732507,5.47,0.10208333333333332
11.17,0.0,9.9,0.007796074139643905,5.64,0.026197802197802197
11.18,0.0,10.46,0.008019606749811283,4.86,0.01
11.63,0.0,10.32,0.01012859816117648,5.0,0.03
11.39,0.0,10.0,0.007820282325399447,5.04,0.19333333333333333
11.07,0.0,10.07,0.008723319033287186,5.01,0.16366666666666668
12.73,0.0,9.57,0.008834865346304066,5.0,0.29099206349206347
11.64,0.0,9.75,0.008608778775320292,5.23,0.07642857142857143
11.68,0.0,9.0,0.009101170767448609,5.42,0.11
11.74,0.0,9.48,0.008559107896763236,5.32,0.17
13.92,0.0,8.56,0.008226422871124635,5.49,0.09300000000000001
12.75,0.0,8.83,0.00841457638745961,5.18,0.011666666666666667
13.37,0.0,7.64,0.007294265005358175,5.37,0.09
12.34,0.0,7.9,0.00784505202030426,5.3,0.17125
12.9,0.0,7.53,0.008859855309525079,5.16,0.3533333333333333
12.14,0.0,7.79,0.008859975294904714,4.95,0.17
12.12,0.020931309416372026,7.35,0.008261737272750612,4.66,0.019
12.75,0.020722429264955083,7.21,0.008303541857412337,5.74,0.011666666666666667
10.75,0.020007422238155853,8.69,0.008267025794791634,5.31,0.069
11.61,0.0196134590737774,7.5,0.008282087284327798,5.07,0.315
10.75,0.01921491397994312,7.57,0.007845404536431795,5.13,0.16
9.7,0.020194324198098745,7.79,0.007852001272524164,4.7,0.165
9.63,0.0205320962472846,7.12,0.00760447906564477,4.97,0.16866666666666666
10.26,0.019176328741714443,7.07,0.00739166369691897,4.89,0.43625
10.39,0.0193777877183844,7.5,0.008284569777587243,4.65,0.04
12.17,0.020014212493567416,7.2,0.00802873266172376,4.78,0.13
10.0,0.017100553936842174,6.85,0.007347137513408422,4.94,0.07200000000000001
9.4,0.0171747513943112,6.76,0.0073688817018052015,4.86,0.2253333333333333
10.11,0.018764797152438003,7.37,0.007419547336671923,4.7,0.16
9.57,0.017380925301304143,8.76,0.007785842820715085,4.67,0.02
10.33,0.01794139420980339,7.32,0.0075585666620480345,5.1,0.04
10.54,0.017871200151088763,7.76,0.008408209419702639,5.14,0.02
10.8,0.017138682090606577,7.36,0.007770451642495745,5.1,0.34728571428571425
10.11,0.01919506320975076,7.04,0.006505890047686621,4.86,0.05428571428571429
10.27,0.020147125597321985,6.93,0.008665762285406864,5.25,0.08791666666666668
10.3,0.018682837625203688,7.17,0.00791767379774838,5.16,0.12042857142857143
11.21,0.016855354332116348,6.13,0.007986045722689999,5.26,0.03
10.8,0.015924254090983678,6.39,0.0065661571015506745,4.77,0.1525
10.23,0.01710405523299895,8.68,0.006948752366338742,4.58,0.17
9.45,0.017218990717334737,7.25,0.006900343520356822,4.6,0.34
9.34,0.016278631824250697,6.29,0.0071707364593332065,5.05,0.205
9.6,0.0179301815665713,6.75,0.00696423218764723,4.64,0.3368095238095238
9.06,0.017682666446131968,6.83,0.00783524838143848,4.97,0.46
8.66,0.017012091214010615,6.51,0.006137804948027222,5.04,0.122
8.41,0.019392724273854325,6.05,0.007471364987518372,5.55,0.075
10.1,0.016444164865990304,5.89,0.007403654618869057,5.14,0.14
9.42,0.01688386884483209,5.69,0.007737940455660511,5.55,0.1
9.96,,,,,
