Expanding_Window,Homicide,Robbery,Rape,Assault,Shooting
32.91,0.32,11.19,0.07416666666666666,7.1,0.61
33.28,0.18,10.21,0.057333333333333326,7.85,0.64
33.67,0.2175,10.72,0.0325,6.94,0.61
33.59,0.21,10.05,0.013333333333333329,7.23,0.73
35.46,0.19,10.55,0.05833333333333333,7.07,0.57
32.33,0.19,10.97,0.05,7.71,0.6
32.26,0.5,11.08,0.1,6.9,0.74
31.89,0.28,11.12,0.035,6.68,0.68
32.6,0.17,11.18,0.05857142857142857,6.83,0.56
36.68,0.1925,11.66,0.01,6.57,0.65
34.65,0.13,11.11,0.03,6.52,0.81
34.75,0.15,10.4,0.065,6.5,0.69
31.53,0.36,10.11,0.03,6.75,0.7
32.28,0.56,9.8,0.01,6.46,0.48
33.05,0.29,8.73,0.02,6.04,0.65
34.64,0.09,9.91,0.188,6.54,0.54
35.07,0.44,9.74,0.2225,7.25,0.56
34.12,0.12,10.64,0.19666666666666668,6.47,0.88
33.47,0.33,10.3,0.1355,5.99,0.64
28.31,0.43,10.4,0.26666666666666666,5.97,0.53
29.98,0.17,10.04,0.075,6.29,0.58
30.86,0.05,10.77,0.68,6.26,0.41
29.22,0.41,10.21,0.06849999999999999,6.06,0.55
27.9,0.27,10.0,0.3866666666666667,5.47,0.54
23.38,0.13,10.34,0.2035,5.21,0.45
24.58,0.26,9.5,0.075,5.17,0.64
27.45,0.37,10.78,0.06,4.55,0.57
29.59,0.29,10.25,0.08166666666666668,4.85,0.56
24.51,0.4133333333333333,8.55,0.0,4.9,0.59
24.48,0.30727272727272725,10.38,0.035,4.89,0.53
26.34,0.2,8.84,0.005,5.5,0.62
24.89,0.3,8.88,0.04,5.38,0.64
24.07,0.39,9.18,0.04,5.99,0.36
23.69,0.37,9.24,0.04,6.14,0.66
24.14,0.196,9.65,0.04,6.44,0.78
26.85,0.11,10.33,0.045,6.6,0.67
26.97,0.235,9.42,0.01,6.45,0.59
23.13,0.15,10.19,0.764,6.31,0.49
26.48,0.2791666666666667,11.16,0.18666666666666668,6.15,0.51
25.63,0.3,10.6,0.04433333333333333,5.86,0.41
25.01,0.34,9.44,0.012922535211267605,5.47,0.27
25.85,0.41,10.12,0.027999999999999997,6.93,0.41
22.44,0.31833333333333336,9.11,0.3106428571428571,5.92,0.17
21.73,0.16,9.77,0.02758110985735337,5.8,0.42
19.29,0.57,8.75,0.02566525811105004,5.97,0.49
20.32,0.63,8.88,0.023184700563198785,6.08,0.81
19.63,0.33,9.45,0.02500183175973161,5.82,0.45
21.06,0.32,8.52,0.007246376811594203,6.2,0.4
18.21,0.15,10.06,0.26341666666666663,5.88,0.57
20.58,0.4733333333333333,8.81,0.026666666666666658,6.29,0.4
24.41,,,,,
